Time,Data13
0,0
3.16E-30,1.14E-26
5.58E-08,0.0002009506866
3.35E-07,0.001205697283
1.73E-06,0.006229259356
8.71E-06,0.03134279731
4.36E-05,0.1568037201
0.0002180317423,0.7814445341
0.0004731394289,1.687000345
0.0007368699358,2.613281096
0.001018392905,3.591025737
0.001391335139,4.868811431
0.001945351138,6.73029816
0.002869056197,9.735681053
0.00428327903,14.09243652
0.005844343676,18.54180732
0.007783685001,23.52342583
0.01039414399,29.29449283
0.01452203499,36.58058391
0.01929730909,43.17591546
0.02428235598,48.96321709
0.03140194874,55.93011673
0.03918224486,61.48672233
0.04698098846,64.52715332
0.05740520989,64.73044045
0.06433200039,62.74115286
0.07125879088,59.35959375
0.08098001505,52.791985
0.08831576173,46.83341383
0.0956515084,40.33748443
0.1085929956,28.28511196
0.1138489045,23.41249259
0.1191048134,18.61511147
0.127905448,10.89995825
0.1363550527,3.994429528
0.1448046575,-2.309348796
0.1559363154,-9.62454606
0.1624365871,-13.35183854
0.1689368588,-16.67625885
0.1818437729,-22.15523372
0.187069353,-23.94025435
0.1922949332,-25.51329722
0.2011960839,-27.70961619
0.2096171121,-29.2701431
0.2180381404,-30.36304174
0.2302483039,-31.23728989
0.2357723508,-31.38491075
0.2412963978,-31.39407449
0.2517152042,-31.08288124
0.2589758643,-30.63999409
0.2662365244,-30.03153389
0.2788117208,-28.67281985
0.2848906508,-27.89421164
0.2909695809,-27.04879229
0.3028397354,-25.25546563
0.3102771128,-24.05412055
0.3177144903,-22.80357606
0.3309697773,-20.50293254
0.3389055733,-19.13303391
0.3468413693,-17.7428321
0.356825043,-16.00297666
0.3666079631,-14.34902401
0.3755860599,-12.92223348
0.3827745017,-11.75840554
0.3910313731,-10.50092655
0.3992882444,-9.317120797
0.4113683562,-7.709057162
0.4171754383,-6.982879691
0.4229825204,-6.304255677
0.4339781244,-5.123317364
0.4404688602,-4.49989981
0.4469595961,-3.932200624
0.460097512,-2.923425892
0.4652221801,-2.612028793
0.4703468482,-2.320580277
0.4790100971,-1.90206007
0.487625623,-1.574981048
0.496241149,-1.347675626
0.5073004814,-1.180272443
0.5135834826,-1.144240861
0.5198664838,-1.155946265
0.532208984,-1.280666096
0.5378388798,-1.398829572
0.5434687757,-1.53988839
0.5535368689,-1.851653154
0.5610294273,-2.132227667
0.5685219857,-2.457212515
0.5794053565,-2.97759706
0.5867005631,-3.355948802
0.5939957697,-3.764456445
0.6124858836,-4.866057891
0.6174000191,-5.148980647
0.6223141545,-5.4362814
0.6288655101,-5.836110356
0.6386668931,-6.42135237
0.649912659,-7.077618746
0.6581657508,-7.52627711
0.6664188426,-7.93974942
0.6757768198,-8.386495851
0.6833246463,-8.71446647
0.6908724728,-8.997839145
0.7062561525,-9.469653562
0.7105117521,-9.557892194
0.7147673517,-9.647455803
0.7221034757,-9.757706283
0.7318564019,-9.835667004
0.7425328193,-9.838418917
0.7515501569,-9.713302095
0.7606489689,-9.537487161
0.7684843081,-9.363664042
0.7754225056,-9.119278724
0.7846457911,-8.740970319
0.7926626161,-8.359790263
0.8006794412,-7.912411513
0.8111473305,-7.252373397
0.8183371341,-6.748661912
0.8255269377,-6.199305867
0.8366575764,-5.290306227
0.8431818203,-4.714941652
0.8497060642,-4.111626016
0.8631492526,-2.824012236
0.8682662147,-2.29235568
0.8733831768,-1.763627823
0.8821070459,-0.8446987892
0.8913466546,0.1436494457
0.9005862634,1.157040059
0.9096233988,2.153544338
0.9186605342,3.12632996
0.9280582375,4.1385581
0.936774536,5.092633828
0.9446432341,5.894416013
0.9542464299,6.837720458
0.962849943,7.683282263
0.9701793819,8.355770103
0.9775088209,8.98863497
0.9908816954,10.05055265
0.9964087784,10.45743799
1.001935861,10.83327909
1.012452553,11.47706418
1.019875004,11.87021405
1.027297455,12.20410742
1.03821221,12.60534813
1.045148981,12.79631905
1.052085752,12.9297357
1.063553154,13.05113529
1.069832128,13.05296081
1.076111101,13.0100897
1.088210085,12.82431287
1.093896359,12.67234587
1.099582633,12.49074375
1.109790889,12.08845001
1.116793639,11.75189425
1.123796388,11.36325719
1.134925886,10.66672839
1.141386108,10.20810227
1.14784633,9.713375633
