Time,Data5
0,0
3.16E-30,-7.89E-69
5.58E-08,-1.65E-24
3.35E-07,-1.28E-20
1.73E-06,-4.71E-17
8.71E-06,-1.52E-13
4.36E-05,-4.74E-10
0.0002180317423,-1.43E-06
0.0004731394289,-6.58E-05
0.0007368699358,-0.0005734863402
0.001018392905,-0.002741775863
0.001391335139,-0.01216167052
0.001945351138,-0.05853283841
0.002869056197,-0.3432075977
0.00428327903,-1.952543592
0.005844343676,-6.903225251
0.007783685001,-20.20218394
0.01039414399,-53.16238649
0.01452203499,-134.4400447
0.01929730909,-240.5327057
0.02428235598,-325.1068802
0.03140194874,-369.8771863
0.03918224486,-333.9708747
0.04698098846,-242.6391359
0.05740520989,-74.26208432
0.06433200039,51.71751903
0.07125879088,180.4198842
0.08098001505,356.1653219
0.08831576173,480.2862435
0.0956515084,594.6256451
0.1085929956,767.778521
0.1138489045,828.6820504
0.1191048134,882.9960106
0.127905448,960.8662594
0.1363550527,1020.937764
0.1448046575,1068.032455
0.1559363154,1111.037571
0.1624365871,1127.177084
0.1689368588,1137.240411
0.1818437729,1139.097119
0.187069353,1134.75887
0.1922949332,1126.552881
0.2011960839,1105.315659
0.2096171121,1077.20562
0.2180381404,1042.265114
0.2302483039,979.2628471
0.2357723508,946.4647595
0.2412963978,911.1294748
0.2517152042,837.7739635
0.2589758643,781.9875324
0.2662365244,722.9038355
0.2788117208,612.5797259
0.2848906508,556.3788725
0.2909695809,498.5571307
0.3028397354,381.2341385
0.3102771128,305.5080336
0.3177144903,228.7887004
0.3309697773,90.43019126
0.3389055733,6.185461843
0.3468413693,-76.75591229
0.356825043,-179.3945251
0.3666079631,-278.2574824
0.3755860599,-367.9412084
0.3827745017,-434.7071522
0.3910313731,-509.4799102
0.3992882444,-580.9259042
0.4113683562,-677.5733252
0.4171754383,-719.9938229
0.4229825204,-760.1804478
0.4339781244,-828.5206511
0.4404688602,-864.1895284
0.4469595961,-896.147494
0.460097512,-947.6534002
0.4652221801,-964.2252057
0.4703468482,-977.5084763
0.4790100971,-993.8873119
0.487625623,-1002.413867
0.496241149,-1003.668708
0.5073004814,-993.8971013
0.5135834826,-982.6902272
0.5198664838,-967.7070504
0.532208984,-926.2895791
0.5378388798,-903.1617333
0.5434687757,-876.8242195
0.5535368689,-822.4868409
0.5610294273,-776.4764405
0.5685219857,-726.2936587
0.5794053565,-645.6691209
0.5867005631,-587.1063187
0.5939957697,-525.7288968
0.6124858836,-357.995631
0.6174000191,-310.6912219
0.6223141545,-262.3374787
0.6288655101,-197.6811899
0.6386668931,-99.21504249
0.649912659,14.66601664
0.6581657508,98.70445918
0.6664188426,182.4593511
0.6757768198,275.2483782
0.6833246463,348.3620599
0.6908724728,419.9363168
0.7062561525,557.3787567
0.7105117521,593.8810865
0.7147673517,628.4870452
0.7221034757,685.8838218
0.7318564019,756.4382618
0.7425328193,824.9158616
0.7515501569,877.4505102
0.7606489689,922.067811
0.7684843081,952.8703712
0.7754225056,977.0971746
0.7846457911,1001.379549
0.7926626161,1015.190622
0.8006794412,1022.922242
0.8111473305,1022.904709
0.8183371341,1016.397878
0.8255269377,1004.910077
0.8366575764,976.3583533
0.8431818203,954.2322953
0.8497060642,928.138919
0.8631492526,860.9845764
0.8682662147,832.2138183
0.8733831768,800.6329825
0.8821070459,741.9677593
0.8913466546,673.4980161
0.9005862634,599.7815843
0.9096233988,522.7035825
0.9186605342,440.4788292
0.9280582375,351.7035092
0.936774536,267.8870419
0.9446432341,188.763641
0.9542464299,90.6140202
0.962849943,3.543998232
0.9701793819,-71.39296276
0.9775088209,-146.1814835
0.9908816954,-280.1311195
0.9964087784,-333.8930468
1.001935861,-386.8281682
1.012452553,-484.0743698
1.019875004,-549.5772372
1.027297455,-612.300843
1.03821221,-697.8765097
1.045148981,-748.046599
1.052085752,-794.8848061
1.063553154,-863.2480502
1.069832128,-896.1596326
1.076111101,-925.5921086
1.088210085,-971.2385581
1.093896359,-988.337669
1.099582633,-1002.011246
1.109790889,-1018.147963
1.116793639,-1023.151594
1.123796388,-1023.339379
1.134925886,-1012.772441
1.141386108,-1001.139177
1.14784633,-985.401248
1.160791453,-940.6099858
1.166081232,-918.5349278
1.171371011,-893.3935796
1.18050284,-844.0557748
1.188977679,-791.8354971
1.197452518,-734.3434864
1.212592196,-619.3853172
1.217025579,-581.9988218
1.221458962,-543.6648537
1.229049168,-476.2771881
1.239565962,-378.3261186
1.250448872,-273.5754397
1.257070571,-207.4165029
1.263692269,-140.523116
