Time,Data11
0,0
3.16E-30,1.79E-56
5.58E-08,5.61E-12
3.35E-07,2.02E-10
1.73E-06,5.39E-09
8.71E-06,1.36E-07
4.36E-05,3.42E-06
0.0002180317423,8.53E-05
0.0004731394289,0.000400362933
0.0007368699358,0.0009675404715
0.001018392905,0.001840705915
0.001391335139,0.003416977188
0.001945351138,0.006622885493
0.002869056197,0.01418099781
0.00428327903,0.03074760893
0.005844343676,0.05529152114
0.007783685001,0.09355088269
0.01039414399,0.1562004684
0.01452203499,0.276766728
0.01929730909,0.4467872721
0.02428235598,0.6600675974
0.03140194874,1.025545622
0.03918224486,1.490985621
0.04698098846,2.002096706
0.05740520989,2.712721148
0.06433200039,3.180004805
0.07125879088,3.629050342
0.08098001505,4.210395599
0.08831576173,4.600779036
0.0956515084,4.943363607
0.1085929956,5.422108509
0.1138489045,5.570017951
0.1191048134,5.691152786
0.127905448,5.836090274
0.1363550527,5.910545661
0.1448046575,5.926554744
0.1559363154,5.86759442
0.1624365871,5.795925241
0.1689368588,5.700109245
0.1818437729,5.448418522
0.187069353,5.327068779
0.1922949332,5.196142978
0.2011960839,4.954651392
0.2096171121,4.708895085
0.2180381404,4.450618113
0.2302483039,4.061298023
0.2357723508,3.881810098
0.2412963978,3.701370906
0.2517152042,3.361076499
0.2589758643,3.125912769
0.2662365244,2.893892731
0.2788117208,2.502623278
0.2848906508,2.319581415
0.2909695809,2.141129742
0.3028397354,1.807363543
0.3102771128,1.609032985
0.3177144903,1.419600211
0.3309697773,1.105036646
0.3389055733,0.9311286099
0.3468413693,0.7684505994
0.356825043,0.5796560564
0.3666079631,0.4115441617
0.3755860599,0.2716286225
0.3827745017,0.169793437
0.3910313731,0.06311562474
0.3992882444,-0.0327967564
0.4113683562,-0.1545356082
0.4171754383,-0.2055801524
0.4229825204,-0.2520855172
0.4339781244,-0.3283247221
0.4404688602,-0.36661425
0.4469595961,-0.4002715058
0.460097512,-0.4553946722
0.4652221801,-0.4728850838
0.4703468482,-0.4881379782
0.4790100971,-0.5096143334
0.487625623,-0.5262664192
0.496241149,-0.5390702577
0.5073004814,-0.5510003517
0.5135834826,-0.5560882629
0.5198664838,-0.5603347372
0.532208984,-0.5671243451
0.5378388798,-0.5701230806
0.5434687757,-0.5731807042
0.5535368689,-0.5794722975
0.5610294273,-0.5853200929
0.5685219857,-0.5925794177
0.5794053565,-0.6061755221
0.5867005631,-0.6177337696
0.5939957697,-0.6315705709
0.6124858836,-0.6777894395
0.6174000191,-0.6931567811
0.6223141545,-0.7096089996
0.6288655101,-0.7337627641
0.6386668931,-0.7744033588
0.649912659,-0.8277695831
0.6581657508,-0.8713731047
0.6664188426,-0.9186860903
0.6757768198,-0.9767973953
0.6833246463,-1.026869901
0.6908724728,-1.079583257
0.7062561525,-1.194663898
0.7105117521,-1.227907196
0.7147673517,-1.261938348
0.7221034757,-1.321790581
0.7318564019,-1.403402989
0.7425328193,-1.494775999
0.7515501569,-1.572630564
0.7606489689,-1.651629052
0.7684843081,-1.719538216
0.7754225056,-1.778861218
0.7846457911,-1.856494552
0.7926626161,-1.922316669
0.8006794412,-1.986026826
0.8111473305,-2.065446534
0.8183371341,-2.117050395
0.8255269377,-2.16588332
0.8366575764,-2.23549739
0.8431818203,-2.272479856
0.8497060642,-2.306438132
0.8631492526,-2.366281351
0.8682662147,-2.385018451
0.8733831768,-2.401638456
0.8821070459,-2.424610349
0.8913466546,-2.441333472
0.9005862634,-2.44987769
0.9096233988,-2.4502036
0.9186605342,-2.442547565
0.9280582375,-2.425818184
0.936774536,-2.402230841
0.9446432341,-2.374677827
0.9542464299,-2.332783664
0.962849943,-2.287476846
0.9701793819,-2.243532613
0.9775088209,-2.194733121
0.9908816954,-2.09369105
0.9964087784,-2.047650966
1.001935861,-1.999264726
1.012452553,-1.901106823
1.019875004,-1.827413253
1.027297455,-1.750436679
1.03821221,-1.63186856
1.045148981,-1.553695683
1.052085752,-1.47370175
1.063553154,-1.338157328
1.069832128,-1.262726485
1.076111101,-1.186701456
1.088210085,-1.039362613
1.093896359,-0.970275279
1.099582633,-0.9014233241
1.109790889,-0.7790980573
1.116793639,-0.6966247158
1.123796388,-0.6157064422
1.134925886,-0.4909761659
1.141386108,-0.4212731775
1.14784633,-0.353801787
1.160791453,-0.2260786036
1.166081232,-0.1772665563
1.171371011,-0.1303878538
1.18050284,-0.05454304736
1.188977679,0.009742707433
1.197452518,0.06774442243
1.212592196,0.1549287048
1.217025579,0.176368214
1.221458962,0.1959312115
1.229049168,0.2247876148
1.239565962,0.2551933749
1.250448872,0.2746947282
1.257070571,0.2808268392
1.263692269,0.2824863881
1.278928402,0.2698184524
1.285581202,0.2571306864
1.292234001,0.2404024248
1.304416271,0.1994437624
1.311072056,0.1717196383
1.317727842,0.1404368106
1.33330108,0.05411221212
1.337773174,0.02658883281
1.342245267,-0.002450741181
1.349563813,-0.05241002651
1.359436793,-0.1241601147
1.36814201,-0.1909600356
1.376847226,-0.2603922631
1.389059936,-0.3613306404
1.39431037,-0.4053848853
1.399560804,-0.449825707
1.40869467,-0.5273965025
1.416746703,-0.5955395331
1.424798736,-0.6628794291
1.437588416,-0.7672018927
