Time,Data8
0,0
3.16E-30,-2.36E-78
5.58E-08,1.17E-27
3.35E-07,1.51E-24
1.73E-06,1.08E-21
8.71E-06,6.90E-19
4.36E-05,4.33E-16
0.0002180317423,2.71E-13
0.0004731394289,5.99E-12
0.0007368699358,3.52E-11
0.001018392905,1.28E-10
0.001391335139,4.45E-10
0.001945351138,1.69E-09
0.002869056197,7.96E-09
0.00428327903,3.91E-08
0.005844343676,1.34E-07
0.007783685001,4.16E-07
0.01039414399,1.30E-06
0.01452203499,4.80E-06
0.01929730909,1.45E-05
0.02428235598,3.52E-05
0.03140194874,9.47E-05
0.03918224486,0.0002201928934
0.04698098846,0.0004374453168
0.05740520989,0.0009251402788
0.06433200039,0.0014084026
0.07125879088,0.002044995346
0.08098001505,0.003237875443
0.08831576173,0.00439934355
0.0956515084,0.005808970645
0.1085929956,0.008955381249
0.1138489045,0.01048881183
0.1191048134,0.01217631708
0.127905448,0.01535567451
0.1363550527,0.01883354659
0.1448046575,0.02273345212
0.1559363154,0.02851679388
0.1624365871,0.03223085582
0.1689368588,0.0361897971
0.1818437729,0.04475957058
0.187069353,0.048489788
0.1922949332,0.05236540973
0.2011960839,0.05929154184
0.2096171121,0.06620546498
0.2180381404,0.07345297942
0.2302483039,0.08451648028
0.2357723508,0.08972393637
0.2412963978,0.09504966389
0.2517152042,0.105396868
0.2589758643,0.112825119
0.2662365244,0.1204177793
0.2788117208,0.1339210201
0.2848906508,0.1405937919
0.2909695809,0.1473519692
0.3028397354,0.160769769
0.3102771128,0.1693089236
0.3177144903,0.1779365941
0.3309697773,0.1935002852
0.3389055733,0.2029137187
0.3468413693,0.2123852399
0.356825043,0.2243677208
0.3666079631,0.2361646365
0.3755860599,0.2470254016
0.3827745017,0.2557370763
0.3910313731,0.2657536096
0.3992882444,0.2757739527
0.4113683562,0.2904275913
0.4171754383,0.297464483
0.4229825204,0.3044942368
0.4339781244,0.3177799856
0.4404688602,0.3256042517
0.4469595961,0.333412893
0.460097512,0.3491650283
0.4652221801,0.3552884503
0.4703468482,0.361399394
0.4790100971,0.3717005015
0.487625623,0.3819068782
0.496241149,0.3920741903
0.5073004814,0.4050668141
0.5135834826,0.4124183003
0.5198664838,0.4197479214
0.532208984,0.4340822277
0.5378388798,0.4405922126
0.5434687757,0.4470842628
0.5535368689,0.4586491897
0.5610294273,0.4672179456
0.5685219857,0.4757541789
0.5794053565,0.4880948199
0.5867005631,0.4963272283
0.5939957697,0.5045271626
0.6124858836,0.5251597084
0.6174000191,0.5306054667
0.6223141545,0.5360347033
0.6288655101,0.5432463883
0.6386668931,0.5539772563
0.649912659,0.566198632
0.6581657508,0.5751022357
0.6664188426,0.5839471069
0.6757768198,0.5939009373
0.6833246463,0.6018678454
0.6908724728,0.6097767445
0.7062561525,0.625704004
0.7105117521,0.63006157
0.7147673517,0.6343970342
0.7221034757,0.6418171328
0.7318564019,0.6515715523
0.7425328193,0.6620969333
0.7515501569,0.6708548908
0.7606489689,0.6795627264
0.7684843081,0.686952311
0.7754225056,0.6934079728
0.7846457911,0.7018569363
0.7926626161,0.709072799
0.8006794412,0.7161651951
0.8111473305,0.725233309
0.8183371341,0.7313310699
0.8255269377,0.737319335
0.8366575764,0.746367967
0.8431818203,0.7515434756
0.8497060642,0.7566221109
0.8631492526,0.7667750605
