Time,Data14
0,0
3.16E-30,9.09E-27
5.58E-08,0.0001607605618
3.35E-07,0.0009645582753
1.73E-06,0.004983419462
8.71E-06,0.02507454114
4.36E-05,0.1254505768
0.0002180317423,0.6253456297
0.0004731394289,1.350495036
0.0007368699358,2.092799539
0.001018392905,2.876996571
0.001391335139,3.902947901
0.001945351138,5.400221092
0.002869056197,7.826785766
0.00428327903,11.37882679
0.005844343676,15.08408944
0.007783685001,19.40212403
0.01039414399,24.78910406
0.01452203499,32.53913924
0.01929730909,40.62522409
0.02428235598,48.1563443
0.03140194874,57.0625775
0.03918224486,63.92570643
0.04698098846,67.71252176
0.05740520989,68.35949052
0.06433200039,66.415593
0.07125879088,62.94488658
0.08098001505,56.10621479
0.08831576173,49.87380261
0.0956515084,43.07132222
0.1085929956,30.47695656
0.1138489045,25.36796398
0.1191048134,20.35269551
0.127905448,12.29159348
0.1363550527,5.079209994
0.1448046575,-1.515159914
0.1559363154,-9.173625457
0.1624365871,-13.0877557
0.1689368588,-16.59120484
0.1818437729,-22.37816742
0.187069353,-24.29782818
0.1922949332,-25.98860251
0.2011960839,-28.37398096
0.2096171121,-30.10006715
0.2180381404,-31.35597495
0.2302483039,-32.44177063
0.2357723508,-32.67993555
0.2412963978,-32.77546724
0.2517152042,-32.61209026
0.2589758643,-32.26347296
0.2662365244,-31.74559838
0.2788117208,-30.51332711
0.2848906508,-29.7889714
0.2909695809,-28.99242526
0.3028397354,-27.26934401
0.3102771128,-26.09855236
0.3177144903,-24.8725617
0.3309697773,-22.59235154
0.3389055733,-21.19676811
0.3468413693,-19.78661024
0.356825043,-18.01184502
0.3666079631,-16.2933895
0.3755860599,-14.75834756
0.3827745017,-13.54897007
0.3910313731,-12.20476929
0.3992882444,-10.91405866
0.4113683562,-9.132667995
0.4171754383,-8.323245457
0.4229825204,-7.550889262
0.4339781244,-6.187045836
0.4404688602,-5.445968121
0.4469595961,-4.755561555
0.460097512,-3.510247627
0.4652221801,-3.083366044
0.4703468482,-2.689148812
0.4790100971,-2.095919919
0.487625623,-1.596967305
0.496241149,-1.190933173
0.5073004814,-0.8004770634
0.5135834826,-0.6417183321
0.5198664838,-0.529208106
0.532208984,-0.4314292418
0.5378388798,-0.4403867424
0.5434687757,-0.4813349603
0.5535368689,-0.6270888873
0.5610294273,-0.7924482459
0.5685219857,-1.00454667
0.5794053565,-1.383603917
