Time,Data15,Data16,Data17,Data18
0,0,0,0,0
3.16E-30,-2.36E-78,7.14E-77,1.43E-56,9.09E-27
5.58E-08,1.17E-27,8.35E-20,4.49E-12,0.0001607605618
3.35E-07,1.51E-24,1.80E-17,1.62E-10,0.0009645582753
1.73E-06,1.08E-21,2.49E-15,4.31E-09,0.004983419462
8.71E-06,6.90E-19,3.17E-13,1.09E-07,0.02507454114
4.36E-05,4.33E-16,3.98E-11,2.74E-06,0.1254505768
0.0002180317423,2.71E-13,4.96E-09,6.83E-05,0.6253456297
0.0004731394289,5.99E-12,5.06E-08,0.0003204418472,1.350495036
0.0007368699358,3.52E-11,1.91E-07,0.0007746564775,2.092799539
0.001018392905,1.28E-10,5.02E-07,0.001474409893,2.876996571
0.001391335139,4.45E-10,1.28E-06,0.002739128432,3.902947901
0.001945351138,1.69E-09,3.47E-06,0.005317649916,5.400221092
0.002869056197,7.96E-09,1.10E-05,0.0114332174,7.826785766
0.00428327903,3.91E-08,3.62E-05,0.02503645512,11.37882679
0.005844343676,1.34E-07,9.07E-05,0.04571988417,15.08408944
0.007783685001,4.16E-07,0.0002104906561,0.07920817546,19.40212403
0.01039414399,1.30E-06,0.0004896132184,0.1369841545,24.78910406
0.01452203499,4.80E-06,0.001288858928,0.2555857697,32.53913924
0.01929730909,1.45E-05,0.002911886909,0.4306128131,40.62522409
0.02428235598,3.52E-05,0.00559547744,0.6523040496,48.1563443
0.03140194874,9.47E-05,0.01154029241,1.028266588,57.0625775
0.03918224486,0.0002201928934,0.02134469557,1.50095028,63.92570643
0.04698098846,0.0004374453168,0.03504029667,2.016222124,67.71252176
0.05740520989,0.0009251402788,0.05976993472,2.729518881,68.35949052
0.06433200039,0.0014084026,0.08030455437,3.197275669,66.415593
0.07125879088,0.002044995346,0.1040197365,3.646091013,62.94488658
0.08098001505,0.003237875443,0.1423385072,4.226335411,56.10621479
0.08831576173,0.00439934355,0.1747972033,4.615500809,49.87380261
0.0956515084,0.005808970645,0.2099372524,4.956674298,43.07132222
0.1085929956,0.008955381249,0.2773417091,5.432937872,30.47695656
0.1138489045,0.01048881183,0.306294101,5.579671704,25.36796398
0.1191048134,0.01217631708,0.3359475107,5.699771657,20.35269551
0.127905448,0.01535567451,0.3867916701,5.843059297,12.29159348
0.1363550527,0.01883354659,0.4365144758,5.916049753,5.079209994
0.1448046575,0.02273345212,0.4866036835,5.930654437,-1.515159914
0.1559363154,0.02851679388,0.5523634826,5.870057875,-9.173625457
