Time,Data2
0,0
3.16E-30,7.14E-77
5.58E-08,8.35E-20
3.35E-07,1.80E-17
1.73E-06,2.49E-15
8.71E-06,3.17E-13
4.36E-05,3.98E-11
0.0002180317423,4.96E-09
0.0004731394289,5.06E-08
0.0007368699358,1.91E-07
0.001018392905,5.02E-07
0.001391335139,1.28E-06
0.001945351138,3.47E-06
0.002869056197,1.10E-05
0.00428327903,3.62E-05
0.005844343676,9.07E-05
0.007783685001,0.0002104906561
0.01039414399,0.0004896132184
0.01452203499,0.001288858928
0.01929730909,0.002911886909
0.02428235598,0.00559547744
0.03140194874,0.01154029241
0.03918224486,0.02134469557
0.04698098846,0.03504029667
0.05740520989,0.05976993472
0.06433200039,0.08030455437
0.07125879088,0.1040197365
0.08098001505,0.1423385072
0.08831576173,0.1747972033
0.0956515084,0.2099372524
0.1085929956,0.2773417091
0.1138489045,0.306294101
0.1191048134,0.3359475107
0.127905448,0.3867916701
0.1363550527,0.4365144758
0.1448046575,0.4866036835
0.1559363154,0.5523634826
0.1624365871,0.5902983578
0.1689368588,0.6276817145
0.1818437729,0.699708363
0.187069353,0.7278612176
0.1922949332,0.7553511248
0.2011960839,0.8005221213
0.2096171121,0.8411932419
0.2180381404,0.8797327194
0.2302483039,0.9316516158
0.2357723508,0.9535599063
0.2412963978,0.9744713471
0.2517152042,1.011191576
0.2589758643,1.034687358
0.2662365244,1.056483096
0.2788117208,1.090294622
0.2848906508,1.104896682
0.2909695809,1.118398194
0.3028397354,1.141703177
0.3102771128,1.15433186
0.3177144903,1.165517215
0.3309697773,1.182086889
0.3389055733,1.190081348
0.3468413693,1.196741012
0.356825043,1.203360227
0.3666079631,1.208103357
0.3755860599,1.211079525
0.3827745017,1.212599161
0.3910313731,1.213484286
0.3992882444,1.213536963
0.4113683562,1.212296275
0.4171754383,1.211209749
0.4229825204,1.209842418
0.4339781244,1.206575881
0.4404688602,1.204285959
0.4469595961,1.201766383
0.460097512,1.19608097
0.4652221801,1.193687457
0.4703468482,1.191212874
0.4790100971,1.186873829
0.487625623,1.182402021
0.496241149,1.177811007
0.5073004814,1.171790721
0.5135834826,1.168323877
0.5198664838,1.164831523
0.532208984,1.157912392
0.5378388798,1.154733756
0.5434687757,1.151541048
0.5535368689,1.145791779
0.5610294273,1.141472643
0.5685219857,1.137108744
0.5794053565,1.130665412
0.5867005631,1.126257373
0.5939957697,1.121759762
0.6124858836,1.109838119
0.6174000191,1.106514269
0.6223141545,1.103112897
0.6288655101,1.098446455
0.6386668931,1.091151437
0.649912659,1.082255767
0.6581657508,1.075324894
0.6664188426,1.068017704
0.6757768198,1.059237988
0.6833246463,1.05174571
0.6908724728,1.04386349
0.7062561525,1.026509409
0.7105117521,1.021387812
0.7147673517,1.016121853
0.7221034757,1.006697871
0.7318564019,0.99347458
0.7425328193,0.978067987
0.7515501569,0.9642843779
0.7606489689,0.9496546037
0.7684843081,0.9364754854
0.7754225056,0.9243596628
0.7846457911,0.9076137721
0.7926626161,0.8924769534
0.8006794412,0.8768146502
0.8111473305,0.8556032671
0.8183371341,0.8405586783
0.8255269377,0.8251479438
0.8366575764,0.8006173321
0.8431818203,0.7858884476
0.8497060642,0.7709241874
0.8631492526,0.739436707
0.8682662147,0.7272517823
0.8733831768,0.7149740832
0.8821070459,0.6938615804
0.8913466546,0.6713112332
0.9005862634,0.6486386826
0.9096233988,0.6264182792
0.9186605342,0.6042273941
0.9280582375,0.5812622011
0.936774536,0.5601356977
0.9446432341,0.5412640117
