Time,Data
1.134925886,-938.1029061
1.141386108,-913.7861767
1.14784633,-885.6571353
1.160791453,-818.305128
1.166081232,-786.7698831
1.171371011,-753.0336305
1.18050284,-689.8937063
1.188977679,-626.1408287
1.197452518,-557.8935174
1.212592196,-426.3453406
1.217025579,-385.8369254
1.221458962,-344.5702763
1.229049168,-272.3927409
1.239565962,-169.8830499
1.250448872,-61.84240267
1.257070571,4.335079783
1.263692269,70.49356121
1.278928402,221.0718803
1.285581202,285.4169075
1.292234001,348.4991529
1.304416271,459.819648
1.311072056,517.8621042
1.317727842,573.6113049
1.33330108,693.7192691
1.337773174,725.2249938
1.342245267,755.280538
1.349563813,801.1818212
1.359436793,856.2662536
1.36814201,897.9325676
1.376847226,932.7985739
1.389059936,969.7559069
1.39431037,981.2287517
1.399560804,989.9972591
1.40869467,998.7392286
1.416746703,999.5409875
1.424798736,993.8656992
1.437588416,971.642095
1.442922667,957.6528591
1.448256918,940.9393419
1.457420302,906.0101374
1.465536867,868.7113008
1.473653432,825.6926548
1.486944776,743.6514534
1.492065461,708.4564164
1.497186145,671.4041128
1.506027507,603.3444009
1.514995208,529.5001165
1.523962909,451.400463
1.533798291,361.597115
1.543633674,268.2986853
1.551941008,187.437926
1.559986507,107.8877951
1.567650838,31.44970187
1.576581889,-57.82335285
1.58551294,-146.6354937
1.594374638,-233.6044974
1.603236335,-318.7402126
1.613577894,-414.8843258
1.620463853,-476.5051602
1.627349812,-535.8674696
1.63946025,-633.9416128
1.645516306,-679.5872107
1.651572362,-722.7411286
1.66370497,-801.0734463
1.669649456,-835.2192123
1.675593942,-866.4144407
1.686787277,-916.7669671
1.693182123,-940.4181377
1.699576969,-960.2248676
1.71234985,-987.9711885
1.717669416,-994.7958436
1.722988982,-998.8061104
1.732162683,-999.0813406
1.740180962,-992.4388933
1.748199241,-979.419197
1.761065318,-945.4270451
1.766369161,-926.8239642
1.771673003,-905.6142694
1.780757463,-863.4055062
1.789020105,-818.8214056
1.797282747,-768.6502882
1.810443917,-678.0576278
1.815555622,-639.6168373
1.820667327,-599.5051222
1.829775521,-524.2215337
1.838532357,-447.7365321
1.847289193,-367.8203827
1.857220799,-273.8058977
